TATA IPL 2025 Auction List-15.12.24,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Reserve
,,,,,,State,,,,,,,,,,,2024,2024,,
List Sr.No.,Set No.,2025 Set,First Name,Surname,Country,,DOB,Age,Specialism,,,Test caps,ODI caps,T20 caps,IPL,Previous IPLTeam(s),,,C/U/A,Price Rs
,,,,,,Association,,,,,,,,,,,Team,IPL,,
,,,,,,,,,,,,,,,,,,,,Lakh
1,1,M1,Jos,Buttler,England,,08/09/1990,34,WICKETKEEPER,RHB,RIGHT ARM Off Spin,57,181,124,107,"MI,RR",RR,11,Capped,200
2,1,M1,Shreyas,Iyer,India,MCA,06/12/1994,30,BATTER,RHB,RIGHT ARM Off Spin,14,62,51,116,"DC,KKR",KKR,15,Capped,200
3,1,M1,Rishabh,Pant,India,DDCA,04/10/1997,27,BATTER,LHB,RIGHT ARM Off Spin,37,31,76,111,DC,DC,13,Capped,200
4,1,M1,Kagiso,Rabada,South Africa,,25/05/1995,29,BOWLER,RHB,RIGHT ARM Fast,66,101,65,80,"DC,PBKS",PBKS,11,Capped,200
5,1,M1,Arshdeep,Singh,India,PCA,05/02/1999,26,BOWLER,LHB,LEFT ARM Fast Medium,,8,56,65,PBKS,PBKS,14,Capped,200
6,1,M1,Mitchell,Starc,Australia,,30/01/1990,35,BOWLER,LHB,LEFT ARM Fast,89,125,65,41,RCB.KKR,KKR,14,Capped,200
7,2,M2,Yuzvendra,Chahal,India,HCA,23/07/1990,34,BOWLER,RHB,RIGHT ARM Leg Spin,,72,80,160,"MI,RCB,RR",RR,15,Capped,200
8,2,M2,Liam,Livingstone,England,,04/08/1993,31,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,1,31,50,39,"RR,PBKS",PBKS,7,Capped,200
9,2,M2,David,Miller,South Africa,,10/06/1989,35,BATTER,LHB,,,173,125,130,"PBKS,RR,GT",GT,9,Capped,150
10,2,M2,KL,Rahul,India,KSCA,18/04/1992,32,WICKETKEEPER,RHB,,53,77,72,132,"SRH,RCB,PBKS,LSG",LSG,14,Capped,200
11,2,M2,Mohammad,Shami,India,CAB,03/09/1990,34,BOWLER,RHB,RIGHT ARM Fast,64,101,23,110,"KKR,PBKS,GT",GT,0,Capped,200
12,2,M2,Mohammad,Siraj,India,HYCA,13/03/1994,31,BOWLER,RHB,RIGHT ARM Fast,30,44,16,93,"SRH,RCB",RCB,14,Capped,200
13,3,BA1,Harry,Brook,England,,22/02/1999,26,BATTER,RHB,RIGHT ARM Medium,21,20,39,11,"SRH,DC",DC,0,Capped,200
14,3,BA1,Devon,Conway,New Zealand,,08/07/1991,33,BATTER,LHB,,24,32,50,23,CSK,CSK,0,Capped,200
15,3,BA1,Jake,Fraser-Mcgurk,Australia,,11/04/2002,22,BATTER,RHB,,,2,4,9,DC,DC,9,Capped,200
16,3,BA1,Aiden,Markram,South Africa,,04/10/1994,30,BATTER,RHB,RIGHT ARM Off Spin,41,71,53,44,"PBKS,SRH",SRH,11,Capped,200
17,3,BA1,Devdutt,Padikkal,India,KSCA,07/07/2000,24,BATTER,LHB,,1,,2,64,"RCB,RR,LSG",LSG,7,Capped,200
18,3,BA1,Rahul,Tripathi,India,MACA,02/03/1991,34,BATTER,RHB,RIGHT ARM Medium,,,5,95,"RPS,RR,KKR,SRH",SRH,6,Capped,75
19,3,BA1,David,Warner,Australia,,27/10/1986,38,BATTER,LHB,,112,161,110,184,"SRH,DC",DC,8,Capped,200
20,4,AL1,Ravichandaran,Ashwin,India,TNCA,17/09/1986,38,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,104,116,65,212,"CSK,RPS,PBKS,DC,RR",RR,15,Capped,200
21,4,AL1,Venkatesh,Iyer,India,MPCA,25/12/1994,30,ALL-ROUNDER,LHB,RIGHT ARM Medium,,2,9,51,KKR,KKR,15,Capped,200
22,4,AL1,Mitchell,Marsh,Australia,,20/10/1991,33,ALL-ROUNDER,RHB,RIGHT ARM Fast,42,93,65,42,"DCH,PWI,RPS,SRH,DC",DC,4,Capped,200
23,4,AL1,Glenn,Maxwell,Australia,,14/10/1988,36,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,7,142,113,134,"DC,MI,PBKS,RCB",RCB,10,Capped,200
24,4,AL1,Harshal,Patel,India,HCA,23/11/1990,34,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,25,106,"DC,RCB,PBKS",PBKS,14,Capped,200
25,4,AL1,Rachin,Ravindra,New Zealand,,18/11/1999,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,11,25,23,10,CSK,CSK,10,Capped,150
